,states,14 Mar 2020,15 Mar 2020,16 Mar 2020,17 Mar 2020,18 Mar 2020,19 Mar 2020,20 Mar 2020,21 Mar 2020,22 Mar 2020,23 Mar 2020,24 Mar 2020,25 Mar 2020,26 Mar 2020,27 Mar 2020,28 Mar 2020,29 Mar 2020,30 Mar 2020,31 Mar 2020,01 Apr 2020,02 Apr 2020,03 Apr 2020,04 Apr 2020,05 Apr 2020,06 Apr 2020,07 Apr 2020,08 Apr 2020,09 Apr 2020,10 Apr 2020,11 Apr 2020,12 Apr 2020,13 Apr 2020,14 Apr 2020,15 Apr 2020,16 Apr 2020,17 Apr 2020,18 Apr 2020,19 Apr 2020,20 Apr 2020,21 Apr 2020,22 Apr 2020,23 Apr 2020,24 Apr 2020,25 Apr 2020,26 Apr 2020,27 Apr 2020,28 Apr 2020,29 Apr 2020,30 Apr 2020,01 May 2020,02 May 2020,03 May 2020,04 May 2020,05 May 2020,06 May 2020,07 May 2020,08 May 2020,09 May 2020,10 May 2020,11 May 2020,12 May 2020,13 May 2020,14 May 2020,15 May 2020,16 May 2020,17 May 2020,18 May 2020,19 May 2020,20 May 2020,21 May 2020,22 May 2020,23 May 2020,24 May 2020,25 May 2020,26 May 2020,27 May 2020,28 May 2020,29 May 2020,30 May 2020,31 May 2020,01 Jun 2020,02 Jun 2020,03 Jun 2020,04 Jun 2020,05 Jun 2020,06 Jun 2020,07 Jun 2020,08 Jun 2020,09 Jun 2020,10 Jun 2020,11 Jun 2020,12 Jun 2020,13 Jun 2020,14 Jun 2020,15 Jun 2020,16 Jun 2020,17 Jun 2020,18 Jun 2020,19 Jun 2020,20 Jun 2020,21 Jun 2020,22 Jun 2020,23 Jun 2020,24 Jun 2020,25 Jun 2020,26 Jun 2020,27 Jun 2020,28 Jun 2020,29 Jun 2020,30 Jun 2020,01 Jul 2020,02 Jul 2020,03 Jul 2020,04 Jul 2020,05 Jul 2020,06 Jul 2020,07 Jul 2020,08 Jul 2020,09 Jul 2020,10 Jul 2020,11 Jul 2020,12 Jul 2020,13 Jul 2020,14 Jul 2020,15 Jul 2020,16 Jul 2020,17 Jul 2020,18 Jul 2020,19 Jul 2020,20 Jul 2020,21 Jul 2020,22 Jul 2020,23 Jul 2020,24 Jul 2020,25 Jul 2020,26 Jul 2020,27 Jul 2020,28 Jul 2020,29 Jul 2020,30 Jul 2020,31 Jul 2020,01 Aug 2020,02 Aug 2020,03 Aug 2020,04 Aug 2020,05 Aug 2020,06 Aug 2020,07 Aug 2020,08 Aug 2020,09 Aug 2020,10 Aug 2020,11 Aug 2020,12 Aug 2020,13 Aug 2020,14 Aug 2020,15 Aug 2020,16 Aug 2020,17 Aug 2020,18 Aug 2020,19 Aug 2020,20 Aug 2020,21 Aug 2020,22 Aug 2020,23 Aug 2020,24 Aug 2020,25 Aug 2020,26 Aug 2020,27 Aug 2020,28 Aug 2020,29 Aug 2020,30 Aug 2020,31 Aug 2020,01 Sep 2020,02 Sep 2020,03 Sep 2020,04 Sep 2020,05 Sep 2020,06 Sep 2020,07 Sep 2020,08 Sep 2020,09 Sep 2020,10 Sep 2020,11 Sep 2020,12 Sep 2020,13 Sep 2020,14 Sep 2020,15 Sep 2020,16 Sep 2020,17 Sep 2020,18 Sep 2020,19 Sep 2020,20 Sep 2020,21 Sep 2020,22 Sep 2020,23 Sep 2020,24 Sep 2020,25 Sep 2020,26 Sep 2020
0,Maharashtra,14,32,38,41,44,48,52,64,74,97,107,122,125,156,186,203,220,302,335,423,487,635,747,868,1018,1135,1364,1574,1761,1982,2334,2680,2916,3201,3321,3648,4200,4666,5218,5649,6427,6817,7628,8068,8590,9318,9915,10498,11506,12296,12974,14541,15525,16758,17974,19063,20228,22171,23401,24427,25922,27524,29100,30706,33053,35058,37136,39297,41642,44582,47190,50231,52667,54758,56948,59546,62228,65168,67655,70013,72300,74860,77793,80229,82968,85975,88529,90787,94041,97648,101141,104568,107958,110744,113445,116752,120504,124331,128205,132075,135796,139010,142899,147741,152765,159133,164626,169883,174761,180298,186626,192990,200064,206619,211987,217121,223724,230599,238461,246600,254427,260924,267665,275640,284281,292589,300937,310455,318695,327031,337607,347502,357117,366368,375799,383723,391440,400651,411798,422118,431719,441228,450196,457956,468265,479779,490262,503084,515332,524513,535601,548313,560126,572734,584754,595865,604358,615477,628642,643289,657450,671942,682383,693398,703823,718711,733568,747995,764281,780689,792541,808306,825739,843844,863062,883862,907212,923641,943772,967349,990795,1015681,1037765,1060308,1077374,1097856,1121221,1145840,1167496,1188015,1208642,1224380,1242770,1263799,1282963,1300757,1321176
1,Andhra Pradesh,1,1,1,1,1,3,3,5,6,7,8,10,11,13,19,21,23,44,111,149,164,192,256,303,314,348,363,381,405,420,439,484,525,534,572,603,647,722,757,813,893,955,1016,1097,1177,1259,1332,1403,1463,1525,1583,1650,1717,1777,1833,1887,1930,1980,2018,2089,2137,2205,2307,2355,2380,2432,2489,2560,2605,2667,2714,2780,2886,2983,3117,3245,3330,3461,3571,3676,3791,3971,4112,4250,4460,4659,4813,4882,5247,5429,5636,5858,6152,6456,6720,7071,7496,7961,8452,8929,9372,9834,10331,10884,11489,12285,13098,13891,14595,15252,16097,16934,17699,18697,20019,21197,22259,23814,25422,27235,29168,31103,33019,35451,38044,40646,44609,49650,53724,58668,64713,72711,80858,88671,96298,102349,110297,120390,130557,140933,150209,158764,166586,176333,186461,196789,206960,217040,227860,235525,244549,254146,264142,273085,281817,289829,296609,306261,316003,325396,334940,345216,353111,361712,371639,382469,393090,403616,414164,424767,434771,445139,455531,465730,476506,487331,498125,506493,517094,527512,537687,547686,557587,567123,575079,583925,592760,601462,609558,617776,625514,631749,639302,646530,654385,661458,668751
2,Tamil Nadu,1,1,1,1,2,3,3,6,9,12,18,26,29,38,42,50,67,124,234,309,411,485,571,621,690,738,834,911,969,1075,1173,1204,1242,1267,1323,1372,1477,1520,1596,1629,1683,1755,1821,1885,1937,2058,2162,2323,2526,2757,3023,3550,4058,4829,5409,6009,6535,7204,8002,8718,9227,9674,10108,10585,11224,11760,12448,13191,13967,14753,15512,16277,17082,17728,18545,19372,20246,21184,22333,23495,24586,25872,27256,28694,30152,31667,33229,34914,36841,38716,40698,42687,44661,46504,48019,50193,52334,54449,56845,59377,62087,64603,67468,70977,74622,78335,82275,86224,90167,94049,98392,102721,107001,111151,114978,118594,122350,126581,130261,134226,138470,142798,147324,151820,156369,160907,165714,170693,175678,180643,186492,192964,199749,206737,213723,220716,227688,234114,239978,245859,251738,257613,263222,268285,273460,279144,285024,290907,296901,302815,308649,314520,320355,326245,332105,338055,343945,349654,355449,361435,367430,373410,379385,385352,391303,397261,403242,409238,415590,422085,428041,433969,439959,445851,451827,457697,463480,469256,474940,480524,486052,491571,497066,502759,508511,514208,519860,525420,530908,536477,541993,547337,552674,557999,563691,569370,575017
3,Karnataka,6,6,7,9,14,15,15,20,26,33,41,51,55,64,81,83,88,101,110,124,128,144,151,163,175,181,197,207,215,232,247,260,279,315,359,384,390,408,418,427,445,474,500,503,512,523,535,565,589,601,614,651,673,693,705,753,794,848,862,925,959,987,1056,1092,1147,1246,1395,1462,1605,1743,1959,2089,2182,2283,2418,2533,2781,2922,3221,3408,3796,4063,4320,4835,5213,5452,5760,5921,6041,6245,6516,6824,7000,7213,7530,7734,7944,8281,8697,9150,9399,9721,10118,10560,11005,11923,13190,14295,15242,16514,18016,19710,21549,23474,25317,26815,28877,31105,33418,36216,38843,41581,44077,47253,51422,55115,59652,63772,67420,71069,75833,80863,85870,90942,96141,101465,107001,112504,118632,124115,129287,134819,139571,145830,151449,158254,164924,172102,178087,182354,188611,196494,203200,211108,219926,226966,233283,240948,249590,256975,264546,271876,277814,283665,291826,300406,309792,318752,327076,335928,342423,351481,361341,370206,379486,389232,398551,404324,412190,421730,430947,440411,449551,459445,467689,475265,484990,494356,502982,511346,519537,526876,533850,540847,548557,557212,566023
4,Uttar Pradesh,12,13,13,15,17,20,24,28,30,32,35,38,42,49,65,72,96,104,117,128,174,234,278,305,332,361,410,433,452,483,558,660,735,805,849,975,1100,1184,1337,1449,1510,1621,1793,1873,1986,2053,2134,2211,2328,2487,2645,2766,2880,2998,3071,3214,3373,3467,3573,3664,3758,3902,4057,4258,4464,4605,4926,5175,5515,5735,6017,6268,6497,6724,6991,7170,7445,7701,8075,8361,8729,8870,9237,9733,10103,10536,10947,11335,11610,12088,12616,13118,13615,14091,14598,15181,15785,16594,17135,17731,18322,18893,19557,20193,20943,21549,22147,22828,23492,24056,24825,25797,26554,27707,28636,29968,31156,32362,33700,35092,36476,38130,39724,41383,43441,45163,47036,49247,51160,53288,55588,58104,60771,63742,66988,70493,73951,77334,81039,85461,89048,92921,97362,100310,104388,108974,113378,118038,122609,126722,131763,136238,140775,145287,150061,154418,158216,162434,167510,172334,177239,182456,187781,192382,197388,203028,208419,213824,219457,225632,230414,235757,241439,247101,253175,259765,266283,271851,278473,285041,292029,299045,305831,312036,317195,324036,330265,336294,342788,348517,354275,358893,364543,369686,374277,378533,382835
5,Delhi,7,7,7,8,10,14,20,27,27,30,30,35,36,40,49,72,97,120,152,293,386,445,503,525,576,669,720,903,1069,1154,1510,1561,1578,1640,1707,1893,2003,2081,2156,2248,2376,2514,2625,2918,3108,3314,3439,3515,3738,4122,4549,4898,5104,5532,5980,6318,6542,6923,7233,7639,7998,8470,8895,9333,9755,10054,10554,11088,11659,12319,12910,13418,14053,14465,15257,16281,17386,18549,19844,20834,22132,23645,25004,26334,27654,28936,29943,31309,32810,34687,36824,38958,41182,42829,44688,47102,49979,53116,56746,59746,62655,66602,70390,73780,77240,80188,83077,85161,87360,89802,92175,94695,97200,99444,100823,102831,104864,107051,109140,110921,112494,113740,115346,116993,118645,120107,121582,122793,123747,125096,126323,127364,128389,129531,130606,131219,132275,133310,134403,135598,136716,137677,138482,139156,140232,141531,142723,144127,145427,146134,147391,148504,149460,150652,151928,152580,153367,154741,156139,157354,158604,160016,161466,162527,164071,165764,167604,169412,171366,173390,174748,177060,179569,182306,185220,188193,191449,193526,197135,201174,205482,209748,214069,218304,221533,225796,230269,234701,238828,242899,246711,249259,253075,256789,260623,264450,267822
6,West Bengal,0,0,0,1,1,1,2,4,7,7,9,9,10,15,18,21,22,37,37,53,53,53,80,80,91,99,103,116,126,134,152,190,213,231,255,287,310,339,392,423,456,514,571,611,649,697,725,758,795,922,1198,1259,1344,1456,1548,1678,1786,1939,2063,2173,2290,2377,2461,2576,2677,2824,2961,3103,3197,3332,3459,3667,3816,4009,4192,4536,4813,5130,5501,5772,6168,6508,6876,7303,7738,8187,8613,8985,9328,9768,10244,10698,11087,11494,11909,12300,12735,13090,13531,13945,14358,14728,15173,15648,16190,16711,17283,17907,18559,19170,19819,20488,21231,22126,22987,23837,24823,25911,27109,28453,30013,31448,32838,34427,36117,38011,40209,42487,44769,47030,49321,51757,53973,56377,58718,60830,62964,65258,67692,70188,72777,75516,78232,80984,83800,86754,89666,92615,95554,98459,101390,104326,107323,110358,113432,116498,119578,122753,125922,129119,132364,135596,138870,141837,144801,147775,150772,153754,156766,159785,162778,165721,168697,171681,174659,177701,180788,183865,186956,190063,193175,196332,199493,202708,205919,209146,212383,215580,218772,221960,225137,228302,231484,234673,237869,241059,244240
7,Odisha,0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,5,5,20,21,39,40,42,42,48,50,54,54,55,60,60,60,60,61,61,74,79,83,89,94,100,103,118,118,125,143,154,160,162,169,177,205,219,270,352,377,415,437,538,672,737,737,828,876,978,1052,1103,1189,1269,1336,1438,1517,1593,1660,1723,1819,1948,2104,2245,2388,2478,2608,2781,2856,2994,3140,3250,3386,3498,3723,3909,4055,4163,4338,4512,4677,4856,5160,5303,5470,5752,5962,6180,6350,6614,6859,7065,7316,7545,8106,8601,9070,9526,10097,10624,11201,11956,12526,13121,13737,14280,14898,15392,16110,16701,17437,18110,18757,19835,21099,22693,24013,25389,26892,28107,29175,30378,31877,33479,34913,36297,37681,39018,40717,42550,44193,45927,47455,48796,50672,52653,54630,57126,60050,62294,64533,67122,70020,72718,75537,78530,81479,84231,87602,90986,94668,97920,100934,103536,106561,109780,113411,116678,120221,124031,127892,131382,135130,139121,143117,146894,150807,155005,158650,162920,167161,171341,175550,179880,184122,188311,192548,196888,201096,205452
8,Telangana,1,3,4,5,13,16,19,21,27,33,37,41,44,59,67,70,77,97,127,154,229,272,334,364,404,453,471,487,503,531,592,644,650,700,766,809,858,872,928,943,970,983,990,1001,1003,1009,1016,1038,1044,1061,1082,1085,1096,1107,1122,1132,1163,1196,1275,1326,1367,1414,1454,1509,1551,1592,1634,1661,1699,1761,1813,1854,1920,2032,2139,2256,2425,2499,2698,2792,2891,3020,3147,3290,3496,3650,3742,3920,4111,4320,4484,4737,4974,5193,5406,5675,6027,6526,7072,7802,8674,9553,10444,11364,12349,13436,14419,15394,16339,17357,18570,20462,22312,23902,25733,27612,29536,30946,32224,33402,34671,36221,37745,39342,41018,42496,43780,45076,46274,47704,49259,50826,52466,54059,54059,55532,57142,58906,60717,62703,64786,66677,67660,68946,70958,73050,75257,77513,79495,80751,82647,84544,86475,88396,90259,91361,92255,93937,95700,97424,98881,101355,103739,105581,108160,111178,113973,116905,119656,122580,124453,127187,130079,132896,135374,137885,140459,142261,144653,147132,149666,152092,154370,156586,158003,160061,162334,164493,166536,168659,170796,172098,174264,176560,178736,181117,183356
9,Bihar,0,0,0,0,0,0,0,0,2,3,3,4,7,9,11,15,15,21,24,29,31,32,32,32,38,39,58,60,64,64,66,66,72,83,85,86,96,113,126,143,170,223,251,277,346,366,403,425,466,481,517,528,535,542,550,579,611,707,749,879,953,999,1033,1178,1320,1423,1519,1776,1987,2166,2394,2574,2737,2968,3036,3185,3359,3565,3807,3945,4096,4326,4452,4598,4831,5070,5247,5455,5698,5948,6096,6289,6475,6662,6810,6940,7040,7290,7503,7665,7893,8050,8273,8488,8678,8980,9224,9618,9988,10204,10682,11108,11457,11860,12140,12525,13274,13978,14330,15039,16305,17421,18853,20173,21558,23300,24967,26379,27455,28564,30066,31691,33511,36314,38919,41111,43591,45919,48001,50987,54508,57270,59567,62031,64732,68148,71794,75786,79720,82741,86812,90553,94459,98370,101906,104093,106618,109875,112759,115210,117671,119909,122156,123383,124827,126990,128850,130848,132935,135013,136337,138265,140234,142156,144134,145861,147658,149027,150694,152192,153735,155445,156866,158389,159526,161101,162632,164224,165371,166987,168542,169856,171465,173063,174266,175898,177355
