,Date,Cases,Deaths,Recoveries
0,22 Jan 2020,0,0,0
1,23 Jan 2020,0,0,0
2,24 Jan 2020,0,0,0
3,25 Jan 2020,0,0,0
4,26 Jan 2020,0,0,0
5,27 Jan 2020,0,0,0
6,28 Jan 2020,0,0,0
7,29 Jan 2020,0,0,0
8,30 Jan 2020,1,0,0
9,31 Jan 2020,1,0,0
10,1 Feb 2020,1,0,0
11,2 Feb 2020,2,0,0
12,3 Feb 2020,3,0,0
13,4 Feb 2020,3,0,0
14,5 Feb 2020,3,0,0
15,6 Feb 2020,3,0,0
16,7 Feb 2020,3,0,0
17,8 Feb 2020,3,0,0
18,9 Feb 2020,3,0,0
19,10 Feb 2020,3,0,0
20,11 Feb 2020,3,0,0
21,12 Feb 2020,3,0,0
22,13 Feb 2020,3,0,0
23,14 Feb 2020,3,0,0
24,15 Feb 2020,3,0,0
25,16 Feb 2020,3,0,3
26,17 Feb 2020,3,0,3
27,18 Feb 2020,3,0,3
28,19 Feb 2020,3,0,3
29,20 Feb 2020,3,0,3
30,21 Feb 2020,3,0,3
31,22 Feb 2020,3,0,3
32,23 Feb 2020,3,0,3
33,24 Feb 2020,3,0,3
34,25 Feb 2020,3,0,3
35,26 Feb 2020,3,0,3
36,27 Feb 2020,3,0,3
37,28 Feb 2020,3,0,3
38,29 Feb 2020,3,0,3
39,1 Mar 2020,3,0,3
40,2 Mar 2020,5,0,3
41,3 Mar 2020,5,0,3
42,4 Mar 2020,28,0,3
43,5 Mar 2020,30,0,3
44,6 Mar 2020,31,0,3
45,7 Mar 2020,34,0,3
46,8 Mar 2020,39,0,3
47,9 Mar 2020,43,0,3
48,10 Mar 2020,56,0,4
49,11 Mar 2020,62,1,4
50,12 Mar 2020,73,1,4
51,13 Mar 2020,82,2,4
52,14 Mar 2020,102,2,4
53,15 Mar 2020,113,2,13
54,16 Mar 2020,119,2,13
55,17 Mar 2020,142,3,14
56,18 Mar 2020,156,3,14
57,19 Mar 2020,194,4,15
58,20 Mar 2020,244,5,20
59,21 Mar 2020,330,4,23
60,22 Mar 2020,396,7,27
61,23 Mar 2020,499,10,27
62,24 Mar 2020,536,10,40
63,25 Mar 2020,657,12,43
64,26 Mar 2020,727,20,45
65,27 Mar 2020,887,20,73
66,28 Mar 2020,987,24,84
67,29 Mar 2020,1024,27,95
68,30 Mar 2020,1251,32,102
69,31 Mar 2020,1397,35,123
70,1 Apr 2020,1998,58,148
71,2 Apr 2020,2543,72,191
72,3 Apr 2020,2567,72,192
73,4 Apr 2020,3082,86,229
74,5 Apr 2020,3588,99,229
75,6 Apr 2020,4778,136,375
76,7 Apr 2020,5311,150,421
77,8 Apr 2020,5916,178,506
78,9 Apr 2020,6725,226,620
79,10 Apr 2020,7598,246,774
80,11 Apr 2020,8446,288,969
81,12 Apr 2020,9205,331,1080
82,13 Apr 2020,10453,358,1181
83,14 Apr 2020,11487,393,1359
84,15 Apr 2020,12322,405,1432
85,16 Apr 2020,13430,448,1768
86,17 Apr 2020,14352,486,2041
87,18 Apr 2020,15722,521,2463
88,19 Apr 2020,17615,559,2854
89,20 Apr 2020,18539,592,3273
90,21 Apr 2020,20080,645,3975
91,22 Apr 2020,21370,681,4370
92,23 Apr 2020,23077,721,5012
93,24 Apr 2020,24530,780,5498
94,25 Apr 2020,26283,825,5939
95,26 Apr 2020,27890,881,6523
96,27 Apr 2020,29451,939,7137
97,28 Apr 2020,31324,1008,7747
98,29 Apr 2020,33062,1079,8437
99,30 Apr 2020,34863,1154,9068
100,1 May 2020,37257,1223,10007
101,2 May 2020,39699,1323,10819
102,3 May 2020,42505,1391,11775
103,4 May 2020,46437,1566,12847
104,5 May 2020,49400,1693,14142
105,6 May 2020,52987,1785,15331
106,7 May 2020,56351,1889,16776
107,8 May 2020,59695,1985,17887
108,9 May 2020,62808,2101,19301
109,10 May 2020,67161,2212,20969
110,11 May 2020,70768,2294,22549
111,12 May 2020,74292,2415,24420
112,13 May 2020,78055,2551,26400
113,14 May 2020,81997,2649,27969
114,15 May 2020,85784,2753,30258
115,16 May 2020,90648,2871,34224
116,17 May 2020,95698,3025,36795
117,18 May 2020,100328,3156,39233
118,19 May 2020,106475,3302,42309
119,20 May 2020,112028,3434,45422
120,21 May 2020,118226,3584,48553
121,22 May 2020,124794,3726,51824
122,23 May 2020,131423,3868,54385
123,24 May 2020,138536,4024,57692
124,25 May 2020,144950,4172,60706
125,26 May 2020,150793,4344,64277
126,27 May 2020,158086,4534,67749
127,28 May 2020,165386,4711,70920
128,29 May 2020,173491,4980,82627
129,30 May 2020,181827,5185,86936
130,31 May 2020,190609,5408,91852
131,1 Jun 2020,198370,5608,95754
